id,neuron_type,neurotransmitter,role,region,x,y,z
11431,AN05B102a,ACH,inter,A1,450696.0,369464.0,916520.0
11462,AVLP502,ACH,inter,brain,297312.0,201072.0,295744.0
11507,PLP211,unclear,inter,brain,273016.0,266400.0,265520.0
11572,SAD091,GABA,inter,LB,392832.0,366768.0,273472.0
11687,DNpe031,GLUT,motor-related,brain/VNC,285184.0,201632.0,299088.0
11761,VP1d+VP4_l2PN1,ACH,inter,DC,269744.0,258672.0,137280.0
11782,SAD106,ACH,inter,LB,489264.0,316864.0,242544.0
11826,PVLP151,ACH,inter,brain,189864.0,211560.0,177040.0
11832,CL367,GABA,inter,brain,485328.0,288392.0,154736.0
12041,AVLP396,ACH,inter,brain,191800.0,245024.0,171392.0
12053,SAD106,ACH,inter,LB,297072.0,330416.0,233280.0
12129,SAD053,ACH,inter,DC,294976.0,240080.0,157024.0
12184,PVLP122,ACH,inter,brain,297520.0,191232.0,295112.0
12211,aMe12,ACH,inter,brain,587768.0,205944.0,199824.0
12215,PVLP122,ACH,inter,brain,291136.0,231456.0,300080.0
12275,PVLP151,ACH,inter,brain,587232.0,185168.0,171568.0
12405,DNge150,unclear,motor-related,LB,381424.0,349040.0,293920.0
12419,CL140,GABA,inter,brain,262832.0,135872.0,282144.0
12517,aMe12,ACH,inter,brain,591800.0,197560.0,191320.0
12614,SAD092,GABA,inter,LB,385560.0,369760.0,275896.0
12628,DNpe042,ACH,motor-related,brain/VNC,291080.0,191592.0,298112.0
12737,aMe12,ACH,inter,brain,586384.0,220752.0,189392.0
12771,DNge135,GABA,motor-related,MD,460032.0,302000.0,144728.0
12857,AVLP721m,ACH,inter,brain,186048.0,189392.0,179104.0
13114,SAD064,ACH,inter,DC,284160.0,244800.0,153072.0
13122,PVLP130,GABA,inter,brain,282632.0,175248.0,284072.0
13256,PS001,GABA,inter,brain,203616.0,167696.0,199136.0
13263,WED108,ACH,inter,brain,301912.0,244504.0,303200.0
13317,DNg33,ACH,motor-related,brain/VNC,418416.0,378504.0,206824.0
13406,aMe30,GLUT,inter,brain,590856.0,122472.0,213216.0
